study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB35665	ERP118751	SAMEA6359322	ERS4125572	ERX3715160	ERR3711713	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	75331	41563373	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-1	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-1	6869716;8283081	c1810758a3c44a9533f31ff61618bdab;2cc3663dad879e3a1f5f81775463a01e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711713/ERR3711713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711713/ERR3711713_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/003/ERR3711713/ERR3711713_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/003/ERR3711713/ERR3711713_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711713/ERR3711713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/003/ERR3711713/ERR3711713_2.fastq.gz	6636441;8075166	389811a1c423810dc5d0fab52852843f;5a2d42b2323619a0f1fe2ccbdd6c5154	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711713/C10F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711713/C10F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711713/C10F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711713/C10F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711713/C10F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711713/C10F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C10F-V3-V4		C10F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359323	ERS4125573	ERX3715161	ERR3711714	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	41671	22953224	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-2	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-2	4213128;4806786	58591c4f1030777842d746771c652ebe;9c945d198f6001039b8f9c0f0d910482	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/004/ERR3711714/ERR3711714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/004/ERR3711714/ERR3711714_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/004/ERR3711714/ERR3711714_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/004/ERR3711714/ERR3711714_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/004/ERR3711714/ERR3711714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/004/ERR3711714/ERR3711714_2.fastq.gz	4089956;4686012	92492bec1fbe833476af71c894118c76;ade0417937bcafb4907014d631fec014	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711714/C11F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711714/C11F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711714/C11F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711714/C11F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711714/C11F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711714/C11F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C11F-V3-V4		C11F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359324	ERS4125574	ERX3715162	ERR3711715	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	77747	43034069	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-3	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-3	6475415;8154124	899dc2f2961fb878746e3a9794fa6e95;b6083b30ce0660c536073c23d19e1699	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/005/ERR3711715/ERR3711715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/005/ERR3711715/ERR3711715_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/005/ERR3711715/ERR3711715_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/005/ERR3711715/ERR3711715_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/005/ERR3711715/ERR3711715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/005/ERR3711715/ERR3711715_2.fastq.gz	6238810;7919728	7f043f34739312d9fbf9b62d1cf9be72;33ac332dfd49ab4bfa4d6ef88dbb62d6	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711715/C12F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711715/C12F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711715/C12F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711715/C12F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711715/C12F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711715/C12F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C12F-V3-V4		C12F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359325	ERS4125575	ERX3715163	ERR3711716	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	66732	36814808	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-4	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-4	6474862;7762160	1a0d5e63ba6269f371489a8ec5829d70;c0a336d08eb95b0f7cb0269bad69f2c9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/006/ERR3711716/ERR3711716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/006/ERR3711716/ERR3711716_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/006/ERR3711716/ERR3711716_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/006/ERR3711716/ERR3711716_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/006/ERR3711716/ERR3711716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/006/ERR3711716/ERR3711716_2.fastq.gz	6275428;7571586	a2ecaf3de14de633ebfdbe0f93e55600;5d8126fdd9f17631b348117b132bb12b	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711716/C13F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711716/C13F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711716/C13F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711716/C13F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711716/C13F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711716/C13F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C13F-V3-V4		C13F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359326	ERS4125576	ERX3715164	ERR3711717	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	55647	30715494	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-5	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-5	5260854;6352220	4ec784026ffd15f955b3b6e3c03dac96;eda2388cb041e7eb4ca32692ac7121c0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/007/ERR3711717/ERR3711717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/007/ERR3711717/ERR3711717_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/007/ERR3711717/ERR3711717_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/007/ERR3711717/ERR3711717_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/007/ERR3711717/ERR3711717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/007/ERR3711717/ERR3711717_2.fastq.gz	5093364;6190701	5d248114823ee79d2f49a82cfd669cf3;dc7e939eeb97eb02255a1016e052af35	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711717/C14F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711717/C14F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711717/C14F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711717/C14F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711717/C14F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711717/C14F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C14F-V3-V4		C14F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359327	ERS4125577	ERX3715165	ERR3711718	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	68368	37829783	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-6	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-6	6085923;7525471	fc986c7952541fa215decf99497bd56f;9484d048414686c416e404dd8512beda	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/008/ERR3711718/ERR3711718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/008/ERR3711718/ERR3711718_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/008/ERR3711718/ERR3711718_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/008/ERR3711718/ERR3711718_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/008/ERR3711718/ERR3711718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/008/ERR3711718/ERR3711718_2.fastq.gz	5875962;7337534	59e4bbddbb68ab7f8d1ed79482d98ad7;a2ca7b0037bd602a24e4bf8eefa62f1e	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711718/C15F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711718/C15F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711718/C15F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711718/C15F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711718/C15F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711718/C15F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C15F-V3-V4		C15F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359328	ERS4125578	ERX3715166	ERR3711719	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	107893	59469218	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-7	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-7	9493544;11829230	d50fbfacd9ee62c01389d682a99d19d6;7ffa57ad3acf5b9257aac401feef530e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/009/ERR3711719/ERR3711719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/009/ERR3711719/ERR3711719_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/009/ERR3711719/ERR3711719_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/009/ERR3711719/ERR3711719_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/009/ERR3711719/ERR3711719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/009/ERR3711719/ERR3711719_2.fastq.gz	9162168;11526403	07fe180f6f8f9e3f789a2f10134dcc84;33f8bcf8b353ca1d339ae82198371efd	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711719/C16F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711719/C16F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711719/C16F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711719/C16F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711719/C16F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711719/C16F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C16F-V3-V4		C16F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359329	ERS4125579	ERX3715167	ERR3711720	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	95007	52500710	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-8	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-8	7692426;9271856	9dfce3822f57e207c5d21ee21365c163;95ce33bd724a6ff8e9744fb8045b5bef	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/000/ERR3711720/ERR3711720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/000/ERR3711720/ERR3711720_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/000/ERR3711720/ERR3711720_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/000/ERR3711720/ERR3711720_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/000/ERR3711720/ERR3711720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/000/ERR3711720/ERR3711720_2.fastq.gz	7390071;8963310	e84b94eed862e907876a561dca00e6d7;1240b7c65d7d40f8afacd394a2a2cd3e	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711720/C17F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711720/C17F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711720/C17F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711720/C17F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711720/C17F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711720/C17F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C17F-V3-V4		C17F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359330	ERS4125580	ERX3715168	ERR3711721	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	81581	45119817	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-9	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-9	7063159;8681098	6682b7ae816b4786243619390386002f;fa6807920b7e9222e846be3c4f8044f9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/001/ERR3711721/ERR3711721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/001/ERR3711721/ERR3711721_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/001/ERR3711721/ERR3711721_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/001/ERR3711721/ERR3711721_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/001/ERR3711721/ERR3711721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/001/ERR3711721/ERR3711721_2.fastq.gz	6810218;8452896	7b4eefee0f8af4eff25a2ba6c785cd85;fc10a9e086453756a21501ca56b98afc	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711721/C1F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711721/C1F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711721/C1F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711721/C1F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711721/C1F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711721/C1F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C1F-V3-V4		C1F-V3-V4	0	2019-12-04
PRJEB35665	ERP118751	SAMEA6359331	ERS4125581	ERX3715169	ERR3711722	ERA2306886	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	unspecified	500	PAIRED	AMPLICON	GENOMIC	PCR	71695	39627786	Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)	2020-06-28	2019-12-05	Illumina MiSeq paired end sequencing	Fecal microbiota in early stage melanoma patients	ena-STUDY-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-10:22:10:972-837	ena-EXPERIMENT-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-10	ena-RUN-Institute of Agricultural Biology and Biotechnology - National Research Council (CNR)-04-12-2019-12:37:31:389-10	6140323;7628540	3e08ab3a4940947b7efc66f8ec7769dd;f28e4507dfe40c942e689ce275172be7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/002/ERR3711722/ERR3711722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/002/ERR3711722/ERR3711722_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/002/ERR3711722/ERR3711722_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR371/002/ERR3711722/ERR3711722_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/002/ERR3711722/ERR3711722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR371/002/ERR3711722/ERR3711722_2.fastq.gz	5918503;7427644	385273e5380ee3884cd062cceaff532f;9374e60571b30667204cd1e34830f74d	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711722/C2F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711722/C2F-V3-V4_trimmed_R2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711722/C2F-V3-V4_trimmed_R1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR371/ERR3711722/C2F-V3-V4_trimmed_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711722/C2F-V3-V4_trimmed_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR371/ERR3711722/C2F-V3-V4_trimmed_R2.fastq.gz	FASTQ;FASTQ									C2F-V3-V4		C2F-V3-V4	0	2019-12-04
